country_code,yield_forecast
AL,57.16127629485649
AT,5696.119408657713
BE,2389.429952828804
BG,6479.024926801079
CH,98.41008092326322
CY,-9.576912640224302
CZ,9431.753781568932
DE,3280.331111628824
DK,8529.579065905884
EE,1253.938571538308
EL,6728.074438140522
ES,22361.50642998139
FI,4666.2449967372695
FR,63960.8257475497
GB,415.4392479262955
HR,1441.6040812158424
HU,13882.297050248915
IE,1885.3644572617563
IS,-1.8849393771946326
IT,18316.61200822884
LT,3984.8322045814443
LU,144.43129879398515
LV,1499.9277403432122
ME,28.21584060662939
MK,411.80457679335495
MT,143.8256303863769
NL,1033.415702140574
NO,284.19280555839356
PL,29524.29779593236
PT,1316.3731751905075
RO,19002.88256766719
RS,3711.130366661384
SE,6136.037232714342
SI,676.41467878089
SK,3762.4815120747066
TR,32977.03263328894
